symbol,current_price,rf_prediction,rf_signal,rf_confidence,price_change_24h,volatility,recommendation,risk_level,train_score,test_score,top_features,data_points,class_distribution,status
COSUSDT,0.003021,0,HOLD,0.4167100769153668,-2.327837051406402,1.3120363666386121,持有,LOW,0.8664226898444648,0.7335766423357665,"['ma_50', 'macd_signal', 'bb_upper']",1367,"{-1: 428, 0: 589, 1: 350}",SUCCESS
CTKUSDT,0.3012,-1,SELL,0.5566683151127428,-2.6188166828322004,3.084674604873262,賣出,HIGH,0.9167429094236048,0.7518248175182481,"['ma_50', 'ma_20', 'atr']",1367,"{-1: 476, 0: 537, 1: 354}",SUCCESS
CRVUSDT,0.526,-1,SELL,0.8146108678594806,-0.7547169811320761,1.0894344229016069,強烈賣出,HIGH,0.9359560841720037,0.791970802919708,"['ma_50', 'bb_upper', 'bb_lower']",1367,"{-1: 459, 0: 568, 1: 340}",SUCCESS
COWUSDT,0.2947,-1,SELL,0.8061007500240016,3.005941978329254,1.8855850905697782,強烈賣出,HIGH,0.9377859103385179,0.791970802919708,"['ma_20', 'bb_middle', 'bb_upper']",1367,"{-1: 499, 0: 436, 1: 432}",SUCCESS
CVCUSDT,0.08981,-1,SELL,0.7848510466946172,-0.8062734702893688,0.5354112242200566,強烈賣出,HIGH,0.9376470588235294,0.7136150234741784,"['bb_lower', 'ma_20', 'bb_middle']",1063,"{-1: 376, 0: 487, 1: 200}",SUCCESS
CTSIUSDT,0.0605,-1,SELL,0.482149810331224,-1.1437908496732012,1.3105601276530543,賣出,HIGH,0.8719121683440073,0.708029197080292,"['ma_50', 'ma_5', 'macd_signal']",1367,"{-1: 434, 0: 556, 1: 377}",SUCCESS
CYBERUSDT,1.242,-1,SELL,0.9153436682877143,-2.6645768025078396,1.0805182281316335,強烈賣出,HIGH,0.9551692589204026,0.7153284671532847,"['ma_50', 'bb_upper', 'bb_lower']",1367,"{-1: 460, 0: 493, 1: 414}",SUCCESS
DASHUSDT,20.21,0,HOLD,0.5524109874728274,-0.14822134387350588,0.9215790987681451,持有,LOW,0.8719121683440073,0.7299270072992701,"['ma_10', 'ma_20', 'ma_5']",1367,"{-1: 328, 0: 782, 1: 257}",SUCCESS
DEEPUSDT,0.14959,-1,SELL,0.669963280771324,3.644425968267156,1.6800219485230132,強烈賣出,HIGH,0.9304666056724611,0.7992700729927007,"['ma_50', 'bb_upper', 'macd_signal']",1367,"{-1: 492, 0: 461, 1: 414}",SUCCESS
DEFIUSDT,645.7,-1,SELL,0.5525121443620407,-0.5084745762711794,1.0038935574415588,賣出,HIGH,0.9231473010064044,0.7883211678832117,"['ma_50', 'bb_upper', 'ma_5']",1367,"{-1: 415, 0: 590, 1: 362}",SUCCESS
DEGENUSDT,0.003428,-1,SELL,0.7996175221779349,3.1597953656334656,2.3081945918770512,強烈賣出,HIGH,0.9149130832570905,0.7372262773722628,"['ma_50', 'bb_middle', 'ma_20']",1367,"{-1: 559, 0: 389, 1: 419}",SUCCESS
DEXEUSDT,7.424,0,HOLD,0.9984722222222223,0.2836687829258516,0.827450778626119,持有,LOW,0.8847209515096066,0.7992700729927007,"['ma_50', 'ma_10', 'bb_middle']",1367,"{-1: 307, 0: 855, 1: 205}",SUCCESS
DENTUSDT,0.000602,-1,SELL,0.579323208621197,-1.1494252873563142,0.9258351866527768,賣出,HIGH,0.9268069533394327,0.8138686131386861,"['ma_50', 'bb_upper', 'bb_middle']",1367,"{-1: 441, 0: 550, 1: 376}",SUCCESS
DEGOUSDT,1.0288,-1,SELL,0.6672032772145399,-0.019436345966956075,0.3711345771009515,強烈賣出,HIGH,0.9332113449222323,0.7773722627737226,"['ma_50', 'bb_upper', 'ma_20']",1367,"{-1: 351, 0: 674, 1: 342}",SUCCESS
DFUSDT,0.02874,0,HOLD,0.8886386465696755,-1.844262295081963,1.4001620219502666,持有,LOW,0.8938700823421775,0.7700729927007299,"['bb_middle', 'ma_50', 'ma_5']",1367,"{-1: 386, 0: 746, 1: 235}",SUCCESS
DMCUSDT,0.007896,-1,SELL,0.66,3.662859393462001,3.7060848536969817,強烈賣出,HIGH,1.0,0.92,"['atr', 'ma_50', 'ma_5']",122,"{-1: 55, 0: 9, 1: 58}",SUCCESS
DODOXUSDT,0.038777,-1,SELL,0.5315432513261384,-1.262954192447746,1.1487061621633543,賣出,HIGH,0.9487648673376029,0.8613138686131386,"['ma_50', 'bb_upper', 'bb_middle']",1367,"{-1: 446, 0: 521, 1: 400}",SUCCESS
DOGEUSDT,0.17059,-1,SELL,0.5300933327650066,1.198315239959657,0.9729498210007355,賣出,HIGH,0.8929551692589204,0.7445255474452555,"['ma_50', 'macd_signal', 'bb_upper']",1367,"{-1: 388, 0: 664, 1: 315}",SUCCESS
